,pH,sulphates,alcohol,quality,pH_cat,alcohol_cat,alcohol_kmeans,sulphates_cat
265,3.2,0.72,10.2,7,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
266,3.6,0.72,9.8,4,"(3.572, 3.75]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
267,3.35,0.86,12.8,8,"(3.216, 3.394]","(12.114, 12.857]",5.0,"(0.842, 0.945]"
268,3.69,0.91,9.4,6,"(3.572, 3.75]","(9.143, 9.886]",1.0,"(0.842, 0.945]"
269,3.28,0.97,10.1,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.945, 1.047]"
270,3.36,0.67,10.7,6,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
271,3.28,0.97,10.1,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.945, 1.047]"
272,3.22,0.78,10.1,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
273,3.31,0.64,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
274,3.38,0.77,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
275,3.36,0.67,10.7,6,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
276,3.69,0.91,9.4,6,"(3.572, 3.75]","(9.143, 9.886]",1.0,"(0.842, 0.945]"
277,3.28,0.97,10.1,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.945, 1.047]"
278,3.23,0.82,12.6,8,"(3.216, 3.394]","(12.114, 12.857]",5.0,"(0.74, 0.842]"
279,3.38,0.77,10.5,7,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
280,3.12,0.82,9.3,6,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.74, 0.842]"
281,3.25,1.08,9.9,7,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(1.047, 1.15]"
282,3.36,0.57,9.1,5,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
283,3.38,0.77,10.5,7,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
284,3.31,0.71,9.8,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
285,3.31,0.71,9.8,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
286,3.1,0.76,10.3,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
287,3.37,0.7,10.3,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
288,3.34,0.86,10.6,7,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.842, 0.945]"
289,3.2,0.95,9.2,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.945, 1.047]"
290,3.34,0.86,10.6,7,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.842, 0.945]"
291,3.3,0.71,10.5,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
292,3.22,0.64,10.3,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
293,3.41,0.6,10.1,6,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
294,3.05,0.81,9.5,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
295,3.05,0.64,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
296,3.16,0.52,9.9,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
297,3.67,0.73,9.6,5,"(3.572, 3.75]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
298,3.67,0.8,9.7,5,"(3.572, 3.75]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
299,3.68,0.71,9.6,5,"(3.572, 3.75]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
300,3.38,0.59,10.7,6,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
301,3.22,0.64,10.1,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
302,3.51,0.72,10.0,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
303,3.39,0.54,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
304,3.2,0.52,9.2,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.432, 0.535]"
305,3.12,0.59,9.3,6,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
306,3.36,0.52,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
307,3.19,0.62,9.5,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
308,3.19,0.63,9.5,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
309,3.41,0.53,9.5,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
310,3.12,0.59,9.3,6,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
311,3.27,0.54,9.4,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
312,3.32,0.63,9.5,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
313,3.3,0.53,9.4,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
314,3.39,0.68,11.0,5,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
315,3.42,0.65,11.0,6,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
316,3.3,0.65,10.1,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
317,3.3,0.64,10.4,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
318,3.37,0.71,11.5,7,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
319,3.3,0.64,10.4,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
320,3.37,0.71,11.5,7,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
321,3.24,0.62,9.7,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
322,3.29,0.63,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
323,3.28,0.7,9.5,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
324,3.16,0.69,9.2,6,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
325,3.16,0.69,9.2,6,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
326,3.05,0.74,11.5,7,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
327,3.28,0.83,11.5,5,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.74, 0.842]"
328,3.16,0.67,9.7,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
329,3.18,0.62,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
330,3.23,0.66,12.5,6,"(3.216, 3.394]","(12.114, 12.857]",5.0,"(0.638, 0.74]"
331,3.23,0.66,12.5,6,"(3.216, 3.394]","(12.114, 12.857]",5.0,"(0.638, 0.74]"
332,3.22,0.54,9.4,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
333,3.13,0.52,11.0,5,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.432, 0.535]"
334,3.34,0.74,11.7,7,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
335,3.17,0.84,12.2,7,"(3.038, 3.216]","(12.114, 12.857]",5.0,"(0.74, 0.842]"
336,3.35,0.7,12.5,6,"(3.216, 3.394]","(12.114, 12.857]",5.0,"(0.638, 0.74]"
337,3.31,0.64,10.3,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
338,3.16,1.0,11.5,6,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.945, 1.047]"
341,3.21,0.87,11.3,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.842, 0.945]"
342,3.3,0.75,9.8,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
343,3.3,0.75,9.8,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
344,3.12,0.78,10.7,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.74, 0.842]"
345,3.6,0.81,9.9,5,"(3.572, 3.75]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
346,3.58,0.89,12.3,7,"(3.572, 3.75]","(12.114, 12.857]",5.0,"(0.842, 0.945]"
347,3.02,0.93,12.0,6,"(2.86, 3.038]","(11.371, 12.114]",4.0,"(0.842, 0.945]"
348,3.11,0.92,10.0,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.842, 0.945]"
349,3.36,0.86,9.4,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.842, 0.945]"
350,3.28,0.98,9.9,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.945, 1.047]"
351,3.35,0.83,9.4,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
352,3.27,0.73,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
353,3.18,0.77,13.0,5,"(3.038, 3.216]","(12.857, 13.6]",6.0,"(0.74, 0.842]"
354,3.25,0.59,11.9,6,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.535, 0.638]"
355,3.55,0.61,12.8,6,"(3.394, 3.572]","(12.114, 12.857]",5.0,"(0.535, 0.638]"
356,3.26,0.88,11.0,5,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.842, 0.945]"
357,3.24,0.75,11.7,7,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.74, 0.842]"
358,3.15,0.85,10.4,7,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.842, 0.945]"
359,3.17,0.68,9.8,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
360,3.19,0.7,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
361,3.37,0.91,9.9,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.842, 0.945]"
362,3.05,0.56,10.0,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
363,2.99,0.87,10.2,5,"(2.86, 3.038]","(9.886, 10.629]",2.0,"(0.842, 0.945]"
364,3.07,0.73,10.0,7,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
365,3.26,0.93,11.8,6,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.842, 0.945]"
366,3.07,0.73,10.0,7,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
367,3.16,0.69,9.0,5,"(3.038, 3.216]","(8.4, 9.143]",0.0,"(0.638, 0.74]"
368,3.18,0.64,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
369,3.2,1.13,12.0,7,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(1.047, 1.15]"
370,3.57,0.78,9.9,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
371,3.32,0.87,8.7,6,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.842, 0.945]"
372,3.32,1.04,10.6,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.945, 1.047]"
373,3.05,0.63,9.2,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
374,3.01,0.81,10.8,6,"(2.86, 3.038]","(10.629, 11.371]",3.0,"(0.74, 0.842]"
375,3.01,0.83,11.8,7,"(2.86, 3.038]","(11.371, 12.114]",4.0,"(0.74, 0.842]"
376,3.26,1.11,11.0,6,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(1.047, 1.15]"
377,3.2,1.13,12.0,7,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(1.047, 1.15]"
378,3.11,0.99,13.3,6,"(3.038, 3.216]","(12.857, 13.6]",6.0,"(0.945, 1.047]"
379,3.31,0.7,10.8,6,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
380,3.21,0.8,9.4,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
381,3.06,0.8,10.0,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
382,3.21,0.8,9.4,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
383,3.21,0.8,9.4,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
384,3.42,0.74,9.2,5,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
385,3.43,0.76,9.7,6,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
386,3.41,0.74,9.2,6,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
387,3.31,0.54,9.6,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
388,3.43,0.74,9.2,6,"(3.394, 3.572]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
389,3.19,0.7,10.0,7,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
390,3.56,0.82,12.9,8,"(3.394, 3.572]","(12.857, 13.6]",6.0,"(0.74, 0.842]"
391,3.06,0.8,10.0,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
392,3.18,0.51,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
393,3.16,0.54,9.1,5,"(3.038, 3.216]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
394,3.03,0.57,9.9,5,"(2.86, 3.038]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
395,3.22,0.6,13.0,7,"(3.216, 3.394]","(12.857, 13.6]",6.0,"(0.535, 0.638]"
396,3.47,0.53,9.9,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
397,3.18,0.65,11.0,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
398,3.18,0.65,11.0,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
399,3.1,0.55,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
400,3.47,0.53,9.9,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
401,3.29,0.47,10.8,6,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.432, 0.535]"
402,3.1,0.61,10.5,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
403,3.15,0.63,10.5,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
404,3.26,0.61,9.1,5,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
405,3.36,0.76,10.1,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
406,3.24,0.65,10.8,6,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
407,3.18,0.63,10.8,7,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
408,3.19,0.7,11.3,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
409,3.05,0.57,9.6,4,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
410,3.38,0.62,9.5,6,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
411,3.38,0.62,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
412,3.27,0.64,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
413,3.27,0.82,11.7,7,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.74, 0.842]"
414,3.26,0.61,9.5,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
415,3.32,1.07,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(1.047, 1.15]"
416,3.26,0.66,11.7,6,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
417,3.44,0.48,10.5,5,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
418,3.24,0.76,10.4,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
419,3.62,0.68,9.9,5,"(3.572, 3.75]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
420,3.28,0.73,11.8,7,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
421,3.52,0.56,12.3,7,"(3.394, 3.572]","(12.114, 12.857]",5.0,"(0.535, 0.638]"
422,3.36,0.44,10.9,5,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.432, 0.535]"
423,3.15,0.9,11.0,7,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.842, 0.945]"
424,3.36,0.44,10.9,5,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.432, 0.535]"
425,3.52,0.56,12.3,7,"(3.394, 3.572]","(12.114, 12.857]",5.0,"(0.535, 0.638]"
426,3.49,0.49,11.4,6,"(3.394, 3.572]","(11.371, 12.114]",4.0,"(0.432, 0.535]"
427,3.26,0.56,10.6,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
428,3.24,0.6,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
429,3.1,0.6,10.4,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
430,3.15,0.9,11.0,7,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.842, 0.945]"
431,3.25,0.56,9.2,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
432,3.0,0.65,12.8,6,"(2.86, 3.038]","(12.114, 12.857]",5.0,"(0.638, 0.74]"
433,3.16,0.49,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
434,3.15,0.89,9.9,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.842, 0.945]"
435,3.16,0.49,9.5,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.432, 0.535]"
436,3.26,0.56,10.2,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
437,3.17,0.66,11.2,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
438,3.15,0.89,9.9,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.842, 0.945]"
439,3.08,0.6,9.3,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
440,2.88,0.82,9.8,8,"(2.86, 3.038]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
441,3.06,0.68,11.3,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
442,2.95,0.68,11.2,7,"(2.86, 3.038]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
443,3.23,0.63,11.6,7,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.535, 0.638]"
444,3.57,0.84,12.5,7,"(3.394, 3.572]","(12.114, 12.857]",5.0,"(0.74, 0.842]"
445,3.23,0.56,10.1,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
446,3.1,0.73,10.5,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
447,3.22,0.72,11.2,5,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
448,3.2,0.56,10.2,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
449,3.1,0.61,10.8,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
450,3.1,0.61,10.8,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
451,3.06,1.06,9.1,6,"(3.038, 3.216]","(8.4, 9.143]",0.0,"(1.047, 1.15]"
452,3.44,0.63,10.0,6,"(3.394, 3.572]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
453,3.26,0.74,11.2,7,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
454,3.5,0.63,11.1,5,"(3.394, 3.572]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
455,3.22,0.69,13.4,8,"(3.216, 3.394]","(12.857, 13.6]",6.0,"(0.638, 0.74]"
456,3.37,0.58,10.3,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
457,3.28,0.58,9.6,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
458,3.26,0.74,11.2,7,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
459,3.25,0.57,9.0,3,"(3.216, 3.394]","(8.4, 9.143]",0.0,"(0.535, 0.638]"
460,3.35,0.61,11.3,6,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.535, 0.638]"
461,3.26,0.61,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
462,3.18,0.61,11.8,5,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.535, 0.638]"
463,3.08,0.53,9.0,5,"(3.038, 3.216]","(8.4, 9.143]",0.0,"(0.432, 0.535]"
464,2.98,0.7,9.2,6,"(2.86, 3.038]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
465,3.48,0.91,9.7,5,"(3.394, 3.572]","(9.143, 9.886]",1.0,"(0.842, 0.945]"
466,3.16,0.72,11.5,6,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
468,3.17,0.62,9.2,6,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.535, 0.638]"
469,3.2,0.58,9.8,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
470,3.05,0.61,10.6,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
471,3.2,0.71,11.4,6,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
472,3.15,0.82,10.4,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
473,3.26,0.79,10.6,5,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
474,3.2,0.89,9.4,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.842, 0.945]"
475,3.14,0.6,10.2,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
476,3.28,0.7,9.7,5,"(3.216, 3.394]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
477,3.18,1.06,11.0,6,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(1.047, 1.15]"
478,3.14,0.6,10.2,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
479,3.19,0.7,10.1,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
480,3.12,0.66,9.2,5,"(3.038, 3.216]","(9.143, 9.886]",0.0,"(0.638, 0.74]"
481,3.15,0.92,11.7,8,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.842, 0.945]"
482,3.04,1.05,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(1.047, 1.15]"
483,3.04,1.06,9.4,5,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(1.047, 1.15]"
484,3.06,0.66,13.4,6,"(3.038, 3.216]","(12.857, 13.6]",6.0,"(0.638, 0.74]"
485,3.17,0.47,10.0,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
486,3.17,0.47,10.0,5,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.432, 0.535]"
487,3.17,0.42,10.0,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.33, 0.432]"
488,3.32,0.92,10.8,7,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.842, 0.945]"
489,3.34,0.75,10.2,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.74, 0.842]"
490,3.31,0.67,10.6,6,"(3.216, 3.394]","(9.886, 10.629]",2.0,"(0.638, 0.74]"
491,3.34,0.79,13.3,7,"(3.216, 3.394]","(12.857, 13.6]",6.0,"(0.74, 0.842]"
492,3.32,0.9,13.4,7,"(3.216, 3.394]","(12.857, 13.6]",6.0,"(0.842, 0.945]"
493,3.48,0.74,11.6,6,"(3.394, 3.572]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
494,3.44,0.55,12.1,6,"(3.394, 3.572]","(11.371, 12.114]",4.0,"(0.535, 0.638]"
495,3.15,0.65,11.0,8,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
496,3.43,0.65,9.0,6,"(3.394, 3.572]","(8.4, 9.143]",0.0,"(0.638, 0.74]"
497,3.32,0.79,11.1,5,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.74, 0.842]"
498,3.15,0.65,11.0,8,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.638, 0.74]"
499,3.48,0.74,11.6,6,"(3.394, 3.572]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
500,3.43,0.65,9.0,6,"(3.394, 3.572]","(8.4, 9.143]",0.0,"(0.638, 0.74]"
501,3.17,0.85,12.0,7,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.842, 0.945]"
502,3.17,0.85,12.0,7,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.842, 0.945]"
503,3.18,1.04,10.9,7,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(0.945, 1.047]"
504,3.21,1.05,10.8,7,"(3.038, 3.216]","(10.629, 11.371]",3.0,"(1.047, 1.15]"
505,3.16,0.78,12.5,7,"(3.038, 3.216]","(12.114, 12.857]",5.0,"(0.74, 0.842]"
506,3.25,1.02,10.8,7,"(3.216, 3.394]","(10.629, 11.371]",3.0,"(0.945, 1.047]"
507,3.17,0.71,9.5,6,"(3.038, 3.216]","(9.143, 9.886]",1.0,"(0.638, 0.74]"
508,3.18,0.63,10.2,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
509,3.04,0.68,11.4,7,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
510,3.02,0.61,9.5,5,"(2.86, 3.038]","(9.143, 9.886]",1.0,"(0.535, 0.638]"
511,3.18,0.63,10.2,6,"(3.038, 3.216]","(9.886, 10.629]",2.0,"(0.535, 0.638]"
512,3.03,0.81,9.7,6,"(2.86, 3.038]","(9.143, 9.886]",1.0,"(0.74, 0.842]"
513,3.09,0.66,11.8,7,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
514,3.09,0.66,11.8,7,"(3.038, 3.216]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
515,3.31,1.14,9.3,5,"(3.216, 3.394]","(9.143, 9.886]",0.0,"(1.047, 1.15]"
516,3.25,0.74,11.9,6,"(3.216, 3.394]","(11.371, 12.114]",4.0,"(0.638, 0.74]"
